x,y,cell_id,land_use,population,locked,non_buildable
0,0,0,Empty,87,False,False
0,1,1,Empty,285,False,False
0,2,2,Empty,446,False,False
0,3,3,Commercial,122,False,False
0,4,4,Empty,305,False,False
0,5,5,Empty,443,False,False
0,6,6,Empty,253,False,False
0,7,7,Empty,183,False,False
0,8,8,Park,385,False,False
0,9,9,Empty,498,False,False
1,0,10,Empty,194,False,False
1,1,11,Empty,179,False,False
1,2,12,Empty,121,False,False
1,3,13,Commercial,287,False,False
1,4,14,Empty,440,False,False
1,5,15,Park,331,False,False
1,6,16,Empty,228,False,False
1,7,17,School,326,False,False
1,8,18,Empty,304,False,False
1,9,19,Empty,407,False,False
2,0,20,Empty,452,False,False
2,1,21,Empty,445,False,False
2,2,22,Empty,302,False,False
2,3,23,Empty,206,False,False
2,4,24,Empty,463,False,False
2,5,25,Empty,448,False,False
2,6,26,Empty,100,False,False
2,7,27,Empty,118,False,False
2,8,28,Empty,265,False,False
2,9,29,Transit,291,False,False
3,0,30,Empty,402,False,False
3,1,31,Empty,136,False,False
3,2,32,Empty,191,False,False
3,3,33,Park,443,False,False
3,4,34,Empty,57,False,False
3,5,35,Empty,369,False,False
3,6,36,Empty,367,False,False
3,7,37,Empty,72,False,False
3,8,38,Empty,363,False,False
3,9,39,Empty,51,False,False
4,0,40,Empty,434,False,False
4,1,41,Empty,366,False,False
4,2,42,Empty,259,False,False
4,3,43,Empty,314,False,False
4,4,44,Empty,266,False,False
4,5,45,Empty,191,False,False
4,6,46,Empty,165,False,False
4,7,47,Empty,481,False,False
4,8,48,Empty,171,False,False
4,9,49,Empty,80,False,False
5,0,50,Empty,121,False,False
5,1,51,Empty,437,False,False
5,2,52,Transit,455,False,False
5,3,53,Empty,99,False,False
5,4,54,Empty,363,False,False
5,5,55,Commercial,53,False,False
5,6,56,Empty,330,False,False
5,7,57,Empty,93,False,False
5,8,58,Empty,126,False,False
5,9,59,Empty,76,False,False
6,0,60,Empty,358,False,False
6,1,61,Grocery,386,False,False
6,2,62,Commercial,159,False,False
6,3,63,Empty,421,False,False
6,4,64,Grocery,347,False,False
6,5,65,Empty,65,False,False
6,6,66,Empty,114,False,False
6,7,67,Hospital,246,False,False
6,8,68,Empty,75,False,False
6,9,69,Empty,417,False,False
7,0,70,Empty,276,False,False
7,1,71,Commercial,441,False,False
7,2,72,School,332,False,False
7,3,73,Empty,203,False,False
7,4,74,Empty,154,False,False
7,5,75,Empty,72,False,False
7,6,76,Empty,315,False,False
7,7,77,Empty,245,False,False
7,8,78,Empty,176,False,False
7,9,79,Empty,329,False,False
8,0,80,Empty,431,False,False
8,1,81,Empty,406,False,False
8,2,82,Empty,205,False,False
8,3,83,Empty,471,False,False
8,4,84,Empty,363,False,False
8,5,85,Empty,133,False,False
8,6,86,Empty,216,False,False
8,7,87,Empty,186,False,False
8,8,88,Empty,338,False,False
8,9,89,Empty,468,False,False
9,0,90,Empty,316,False,False
9,1,91,Transit,329,False,False
9,2,92,Empty,193,False,False
9,3,93,Empty,289,False,False
9,4,94,Empty,137,False,False
9,5,95,Empty,331,False,False
9,6,96,Empty,293,False,False
9,7,97,School,398,False,False
9,8,98,Empty,124,False,False
9,9,99,Empty,240,False,False
