x,y,cell_id,land_use,population,locked,non_buildable
0,0,0,Empty,34,False,False
0,1,1,Commercial,13,False,False
0,2,2,Empty,66,False,False
0,3,3,Empty,10,False,False
0,4,4,Empty,31,False,False
0,5,5,Empty,29,False,False
0,6,6,Empty,51,False,False
0,7,7,Empty,20,False,False
0,8,8,Transit,31,False,False
0,9,9,Empty,48,False,False
1,0,10,Empty,30,False,False
1,1,11,Empty,54,False,False
1,2,12,Empty,49,False,False
1,3,13,Empty,24,False,False
1,4,14,Empty,36,False,False
1,5,15,Empty,32,False,False
1,6,16,Park,76,False,False
1,7,17,Empty,12,False,False
1,8,18,Empty,73,False,False
1,9,19,Empty,70,False,False
2,0,20,Empty,11,False,False
2,1,21,Empty,61,False,False
2,2,22,Empty,79,False,False
2,3,23,Empty,39,False,False
2,4,24,Empty,34,False,False
2,5,25,Empty,72,False,False
2,6,26,Empty,17,False,False
2,7,27,Empty,53,False,False
2,8,28,Empty,43,False,False
2,9,29,Empty,58,False,False
3,0,30,School,47,False,False
3,1,31,Empty,30,False,False
3,2,32,Empty,59,False,False
3,3,33,Empty,31,False,False
3,4,34,Empty,38,False,False
3,5,35,Empty,64,False,False
3,6,36,Commercial,10,False,False
3,7,37,Empty,74,False,False
3,8,38,Empty,28,False,False
3,9,39,Empty,73,False,False
4,0,40,Empty,47,False,False
4,1,41,Empty,66,False,False
4,2,42,Empty,66,False,False
4,3,43,Empty,47,False,False
4,4,44,Empty,56,False,False
4,5,45,Empty,43,False,False
4,6,46,Empty,11,False,False
4,7,47,Empty,26,False,False
4,8,48,Empty,42,False,False
4,9,49,Hospital,26,False,False
5,0,50,Empty,28,False,False
5,1,51,Empty,65,False,False
5,2,52,Empty,23,False,False
5,3,53,Empty,47,False,False
5,4,54,Empty,40,False,False
5,5,55,Empty,58,False,False
5,6,56,Empty,71,False,False
5,7,57,Empty,43,False,False
5,8,58,Empty,62,False,False
5,9,59,Empty,12,False,False
6,0,60,Empty,38,False,False
6,1,61,Empty,46,False,False
6,2,62,Empty,54,False,False
6,3,63,Grocery,58,False,False
6,4,64,Empty,69,False,False
6,5,65,Commercial,64,False,False
6,6,66,Empty,31,False,False
6,7,67,Empty,66,False,False
6,8,68,Empty,49,False,False
6,9,69,Empty,39,False,False
7,0,70,Park,42,False,False
7,1,71,Empty,58,False,False
7,2,72,Empty,19,False,False
7,3,73,Empty,43,False,False
7,4,74,Empty,70,False,False
7,5,75,School,65,False,False
7,6,76,Empty,21,False,False
7,7,77,Commercial,20,False,False
7,8,78,Empty,78,False,False
7,9,79,Empty,54,False,False
8,0,80,Transit,54,False,False
8,1,81,Empty,29,False,False
8,2,82,Grocery,26,False,False
8,3,83,Empty,49,False,False
8,4,84,Empty,60,False,False
8,5,85,Empty,75,False,False
8,6,86,Commercial,45,False,False
8,7,87,Transit,55,False,False
8,8,88,Empty,62,False,False
8,9,89,Empty,11,False,False
9,0,90,Empty,28,False,False
9,1,91,Empty,73,False,False
9,2,92,Empty,12,False,False
9,3,93,Empty,30,False,False
9,4,94,Empty,72,False,False
9,5,95,Empty,32,False,False
9,6,96,Empty,17,False,False
9,7,97,Empty,67,False,False
9,8,98,Empty,53,False,False
9,9,99,Empty,42,False,False
