x,y,cell_id,land_use,population,locked,non_buildable
0,0,0,Empty,218,False,False
0,1,1,Empty,65,False,False
0,2,2,Empty,122,False,False
0,3,3,Empty,72,False,False
0,4,4,Empty,349,False,False
0,5,5,Empty,125,False,False
0,6,6,Empty,410,False,False
0,7,7,Empty,313,False,False
0,8,8,Empty,212,False,False
0,9,9,Empty,483,False,False
0,10,10,Empty,145,False,False
0,11,11,Empty,125,False,False
0,12,12,Commercial,263,False,False
0,13,13,Empty,97,False,False
0,14,14,Park,369,False,False
0,15,15,Empty,337,False,False
0,16,16,Empty,268,False,False
0,17,17,Empty,454,False,False
0,18,18,Locked,174,True,False
0,19,19,Park,166,False,False
1,0,20,Empty,343,False,False
1,1,21,Empty,217,False,False
1,2,22,Empty,245,False,False
1,3,23,Empty,152,False,False
1,4,24,Empty,310,False,False
1,5,25,Empty,476,False,False
1,6,26,Empty,413,False,False
1,7,27,Empty,101,False,False
1,8,28,Locked,409,True,False
1,9,29,Empty,88,False,False
1,10,30,Empty,83,False,False
1,11,31,Empty,108,False,False
1,12,32,Empty,430,False,False
1,13,33,Empty,305,False,False
1,14,34,Empty,373,False,False
1,15,35,Empty,375,False,False
1,16,36,Empty,138,False,False
1,17,37,Empty,246,False,False
1,18,38,Empty,352,False,False
1,19,39,Empty,401,False,False
2,0,40,Empty,261,False,False
2,1,41,Empty,171,False,False
2,2,42,Empty,81,False,False
2,3,43,Locked,500,True,False
2,4,44,Empty,130,False,False
2,5,45,Empty,102,False,False
2,6,46,Locked,288,True,False
2,7,47,Empty,100,False,False
2,8,48,Empty,182,False,False
2,9,49,Empty,268,False,False
2,10,50,Empty,369,False,False
2,11,51,Empty,257,False,False
2,12,52,Empty,99,False,False
2,13,53,Empty,345,False,False
2,14,54,Empty,480,False,False
2,15,55,Empty,186,False,False
2,16,56,Empty,484,False,False
2,17,57,Empty,321,False,False
2,18,58,Empty,283,False,False
2,19,59,Empty,442,False,False
3,0,60,Empty,297,False,False
3,1,61,Empty,451,False,False
3,2,62,Empty,456,False,False
3,3,63,Empty,298,False,False
3,4,64,Empty,423,False,False
3,5,65,Empty,123,False,False
3,6,66,Empty,235,False,False
3,7,67,Empty,411,False,False
3,8,68,Empty,416,False,False
3,9,69,Empty,302,False,False
3,10,70,Empty,496,False,False
3,11,71,Empty,133,False,False
3,12,72,Empty,146,False,False
3,13,73,Empty,93,False,False
3,14,74,Empty,338,False,False
3,15,75,Empty,76,False,False
3,16,76,Empty,442,False,False
3,17,77,Empty,126,False,False
3,18,78,Empty,304,False,False
3,19,79,Empty,188,False,False
4,0,80,Empty,346,False,False
4,1,81,Empty,84,False,False
4,2,82,Empty,366,False,False
4,3,83,Empty,187,False,False
4,4,84,Empty,296,False,False
4,5,85,NonBuildable,376,False,True
4,6,86,Locked,136,True,False
